id,titulo,preco,link,avaliacao,num_avaliacoes,comentarios
11,"SONYSony PlayStation 4 500GB Grand Theft Auto V cor preto onyx 2022Avaliação 3,7 de 5. (3 avaliações)3.7(3)R$2.253em12xR$187,75sem jurosFrete grátis",2253.00,https://www.mercadolivre.com.br/sony-playstation-4-500gb-grand-theft-auto-v-cor-preto-onyx-2022/p/MLB14338598?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB14338598&wid=MLB4032446453&position=18&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,3.7,0,Produto usado com marcas de uso.
12,SONYSony PlayStation 4 500GB 20th Anniversary Edition cor original grayR$25.000em12xR$2.083sem jurosFrete grátis,25000.00,https://www.mercadolivre.com.br/sony-playstation-4-500gb-20th-anniversary-edition-cor-original-gray/p/MLB14338655?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB14338655&wid=MLB3926261193&position=11&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,N/A,0,N/A
13,"SONYConsola De Jogos Remodelada Sony Playstation 4 500gb BrancaPor nocnoc USAR$1.925R$1.63615% OFFem12xR$157,31Frete grátisCOMPRA INTERNACIONALEnvio dos EUA",1925.00,https://www.mercadolivre.com.br/refurbished-gaming-console-sony-playstation-4-500gb-white-r/p/MLB2009675299?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLB2009675299&wid=MLB5284768048&position=5&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,N/A,0,N/A
14,"SONYConsole Sony Playstation 4 Slim 1tb Preto Com JogoAvaliação 4,7 de 5. (18 avaliações)4.7(18)R$2.631R$2.4467% OFFem12xR$203,90sem jurosFrete grátis",2631.00,https://produto.mercadolivre.com.br/MLB-5111142000-console-sony-playstation-4-slim-1tb-preto-com-jogo-_JM?searchVariation=181886099554&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=181886099554&position=41&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,4.7,0,"O ps4 veio cheio de lacre, uma coisa me fez questionar se é realmente novo de fábrica ou recondicionado, o som também só aceita se for no controle ou fone de ouvido com receptor bluetooth, mas fora isso funcionou corretamente.; O produto muito bom, vendendo bem atenciosos.
Gostei bastante indico.; Está funcionando legal. Não sou perito no assunto, porém parece ser novo.; O cabo de conexão não encaixa, parece que já foi usado.; Até o momento funcionando perfeitamente, o preço um pouco salgado."
15,"SONYSony Playstation 4 Slim 500gb  Cor Preto Onyx 2022 + Jogos FisicoR$2.653R$2.38710% OFFem12xR$198,98sem jurosChegará grátis amanhãRecondicionadoEnviado pelo",2653.00,https://produto.mercadolivre.com.br/MLB-5413723436-sony-playstation-4-slim-500gb-cor-preto-onyx-2022-jogos-fisico-_JM?searchVariation=183785209544&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=183785209544&position=42&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,N/A,0,N/A
16,"SONYSony PlayStation 4 Slim CUH-20 500GB Standard cor preto onyx 2020 - Excelente (Recondicionado)R$1.999R$1.8995% OFFem12xR$182,62Frete grátisRecondicionado",1999.00,https://www.mercadolivre.com.br/sony-playstation-4-slim-cuh-20-500gb-standard-cor-preto-onyx-2020-excelente-recondicionado/p/MLB2013745131?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB2013745131&wid=MLB5387280412&position=6&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,N/A,0,N/A
17,"SONYPlaystation 4 Pro 1tb Edição Monster Hunter Completo - Ps4 Pro Monster Hunter WorldR$4.250em12xR$354,17sem jurosFrete grátisRecondicionado",4250.00,https://produto.mercadolivre.com.br/MLB-3673046489-playstation-4-pro-1tb-edico-monster-hunter-completo-ps4-pro-monster-hunter-world-_JM?searchVariation=180382469014&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=180382469014&position=43&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,N/A,0,N/A
18,"SONYPlaystation 4 Pro 1tb Ps4 Pro 4k + 1 Jogo Nota E GarantiaAvaliação 5 de 5. (1 avaliações)5.0(1)R$2.599R$2.31311% OFFem12xR$192,76sem jurosFrete grátisRecondicionado",2599.00,https://produto.mercadolivre.com.br/MLB-3773054620-playstation-4-pro-1tb-ps4-pro-4k-1-jogo-nota-e-garantia-_JM?searchVariation=178141936106&highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=178141936106&position=44&search_layout=grid&type=item&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e,N/A,0,N/A
19,"MAIS VENDIDOSONYSony PlayStation 4 Slim 1TB Mega Pack: The Last of Us/God of War/Horizon Zero Dawn cor preto onyx 2023Avaliação 4,5 de 5. (177 avaliações)4.5(177)R$2.225em12xR$185,42sem jurosFrete grátis",2225.00,https://www.mercadolivre.com.br/sony-playstation-4-slim-1tb-mega-pack-the-last-of-usgod-of-warhorizon-zero-dawn-cor-preto-onyx-2023/p/MLB15392569?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB15392569&wid=MLB5403150302&position=2&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,4.5,0,"Produto correspondeu todos os quistos veio lacrados com todos os cabos , fone , controle e jogos como descriminado paea compra.
Em perfeito estado e ótima qualidade.; Produto excelente atende todos os requisitos.; O video game veio original porem os jogos vieram falsificados, vieram discos blue ray.; Produto novo, lacrado veio com 5 jogos, funcionando perfeitamente."
20,"SONYSony PlayStation 4 Slim 1TB Mega Pack: GTA V Premium/Death Stranding/The Last of Us Remastered cor preto onyx 2023Avaliação 4,3 de 5. (80 avaliações)4.3(80)R$2.209em12xR$184,08sem jurosFrete grátis",2209.00,https://www.mercadolivre.com.br/sony-playstation-4-slim-1tb-mega-pack-gta-v-premiumdeath-strandingthe-last-of-us-remastered-cor-preto-onyx-2023/p/MLB15567694?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB15567694&wid=MLB4013452225&position=10&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,4.3,0,"Ótimo produto super recomendo bom custo benefício.; Muito top, amei, os jogos todos originais, realizei meu sonho de infância.; Vídeo game em ótimo estado, vem com todos os jogos certinhos, controle e cabos, meu garoto está satisfeito demais kkkk.; Muito bom.; Ps4 está em impecável só um problema jogos vieram errado."
21,"SONYSony PlayStation 4 Slim PlayStation 4 1TB Mega Pack: Ghost of Tsushima/God of War/Ratchet & Clank cor preto-azevicheAvaliação 4,6 de 5. (34 avaliações)4.6(34)R$2.252em12xR$187,67sem jurosFrete grátis",2252.00,https://www.mercadolivre.com.br/sony-playstation-4-slim-playstation-4-1tb-mega-pack-ghost-of-tsushimagod-of-warratchet-clank-cor-preto-azeviche/p/MLB18084548?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB18084548&wid=MLB4089199293&position=16&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,4.6,0,"Bon, acabei de receber o vídeo game. Ainda testar, mas vou me antecipar e dar nota total na avaliação. Espero não me enganar.; Ótimo console, jogos incríveis e boa qualidade. Sem arrependimento nenhum.; Excelente aquisição!lacrado estou impactado até agora.; Veio lacrado dentro da cx, com todos os acessorios. Definicao excelente.; Produto excelente, jogos muito bons, embora apenas um deles seja recomendo para crianças pequenas."
22,"SONYConsole Playstation 4 E Jogo God Of War Ragnarok Sony Cor PretoAvaliação 4,9 de 5. (1,155 avaliações)4.9(1155)R$2.449em12xR$235,39Frete grátis",2449.00,https://www.mercadolivre.com.br/console-playstation-4-e-jogo-god-of-war-ragnarok-sony-cor-preto/p/MLB20914562?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB20914562&wid=MLB3877521009&position=22&search_layout=grid&type=product&tracking_id=9343209a-868c-4a64-9a24-974a136d6a6e&sid=search,4.9,0,"Suspeitava da originalidade do produto, porém comprei pq era o mais confiável, e era confiável mesmo! veio tudo certinho com lacre e tudo, o produto pelo oq vejo é original e veio até com o lacre da sony.; Produto excelente.; Ótimo showww produto showwwwwwwwe.; Ps4 top de mais está funcionando perfeitamente 😉. Veio tudo lagrado na caixa tudo original 👏🏼não há satisfação maior do que aquela que sentimos quando proporcionamos alegria aos outros. 🥰❤️ meu filho amo ❤️.; Produto original galera, veio lacrado tudo certinho."
