id,titulo,preco,link,avaliacao,num_avaliacoes
11,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 5 de 5. (1 avaliações)5.0(1)R$979em12xR$94,71Frete grátis",979.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=AD9F5tdLQCr8azRPNMAO%2FuEDGjlwDJCFw1UTq4Gow13d%2BbZxLTngPtcASTK8%2B0dr9n03aWDxZz%2BD2FNsN5YatlZwpYBFlpl%2BkNWsleSSAWGjklPQ926vfb%2Fe3T3%2BfcsFnIo7hpuD97HgJFSPLHhhNMjIEKdTsajtsyXciY%2Fc9xPVYAZmgPc5X6Wz%2BB6VywQ8rt%2FyRGo%2BUQFrajpUAkocMbQEtZfVu%2FdwDtsLluyuW59k%2Fl4j2xUxMA6Aqso4T%2FUoyYlQE9kxXkECQ0x%2FF0yovzS2rbx4rCR0Yg4TJWEhMyC7gZdfUw1uNxRvXtcuv1D1nuni7veRJne7Q7XvkLc%2BKQ4gNcv6YJ5mbEzJPDgHQFS16CyQ8l4h1Oybq2A9%2B6RafCXQcRWy3FNRHMJrOsk7mfvUqFKUTVRo7PRSI%2F4qV1mWwySBPI6PE8ZeWr%2Fpw1IOr0%2Bpw%2BuNsV9LxDT%2B9P4GPrCoJ9I32IQGWKq0z2Usjwq3JK34K5RIM88XjaqdZid2PjGxoVV1HCJ84m3ymtSPhrimVwF4nbfjs0HLVWskXydw83JijlmSwsQBBTuGhQfmKEzE%2F1OvJWNTUl9%2BRVQmzNnkuTe4zher2OJRLK%2FHGPXkkwsYD9Bhe5uhBA8Xrszg%2FnLmaTmzw4W5SHZ9H7cMHjddse2IUJ1C%2FzV%2FKebCDh3WFX4VEwfdg5kGn9I%2B6JF6VVNPWti04L4rVXQYxUfFMxl11ezuwfTsRbDVQPYAX6qsfFewLQ4x%2BHjuBGY0Ifar61W1eb%2F5wYHoSBYz9PeuYAvdif2lGWU7oUCLlPd8bq%2FBGYZZ7h6G2wa29rJuZlGN6eUEvth2qASR02hMA2NMKqqNjVPxOpVAd4zcGg%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5046775736&sid=search,N/A,0
12,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650R$979em12xR$94,71Frete grátis",979.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=si%2FhsFg09DDXVIA6MrRnToygRvcnzKoEt5GVxbuJGCdoMO8lARDb%2Fz9vL07CJzS9F3cLmX%2Bau55N21wJa86xYlef07Zj%2F1eeifm7QGVF7R7agnDucK%2F1n%2BMcUucwl0PFqzzWGe4nR9J90kqDsYqkJC14aILAOBCStr%2FYenq885fc4KE3YfYSAV2zql1s7cD4MiseaQzVjQtGYf9AryARxHmFRsCp0jhWJP0sEtSLHohwLmfPjc1FZRwWOdoa5w3482pznW5zW11zMF6hY1aozAX4kdyzxxKA57ByRkUj8TuomTOUlFkudxAZVjm%2BP71lf%2B7WjxbLwj3bx%2FcqWJrSq%2Faj%2B7gWA6XF5MlZmhjFnaMx4Tlkg%2FJJk5N71ZFvpVuIQbE0c3nartKxPC0T9AlM25oJ6PcUa7blDHg%2F%2F7%2F21rOQFtMzeiJvhhN4bHdDulJarQblDakQgZdEollKJjaKxj4Iz%2F0YUgFQorip9Mvh%2FJmEf3KwEDNUF2Cxfd79DT7H4HZ9FK4Cnov8Krv14FH1Gg8%2BdgECrpA4%2FyK0YtL%2FE2HnbOBo4eyDT2Bc1yEN0Vmu%2BzYanlgrlF%2FyVTRpJDGNIfV6%2B4zxFWAcRXvLLnOGfjZI5yL0CJEC2KAS%2BayRV2YFoo3QL7mmi667hypE58kCFov13Yv0gGx2saHU2WZT8jWdeIwUS47D99Y%2Fzj%2FW6DEjfD3Q4JF5eUoJMd4Qu1RJ8xEW1AUVd6V0a8Thv9%2B4PzOLFEDnaWHwASWrg4PMxZqUGPYjlyTq8MxhDQMJHgaqMmhWTYEx6GK6n5aCufFjFr%2BZ8Zdzj8bodKxSFVIRrtPOgRFvkfrkamGgT7ObiFUcN9Ry5m014CYbXVGShVE%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5046762762&sid=search,N/A,0
13,"HPCartucho Hp 712 Preto 38ml 3ed70a HpAvaliação 5 de 5. (1 avaliações)5.0(1)R$269em12xR$26,31Frete grátis",269.00,https://produto.mercadolivre.com.br/MLB-5046685672-cartucho-hp-712-preto-38ml-3ed70a-hp-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5046685672&sid=search,N/A,0
14,"HPCartucho Hp 712 Preto 38ml Original 3ed70a T210 T250 T650R$269,90R$256,405% OFFem12xR$25,08Frete grátis",269.00,https://produto.mercadolivre.com.br/MLB-5323836918-cartucho-hp-712-preto-38ml-original-3ed70a-t210-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5323836918&sid=search,N/A,0
15,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 4,6 de 5. (28 avaliações)4.6(28)R$1.099R$989,1010% OFFem12xR$95,69Chegará grátis amanhãEnviado pelo",1099.00,https://produto.mercadolivre.com.br/MLB-3750171931-kit-cartucho-hp-712-original-preto-38ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=19&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB3750171931&sid=search,4.6,0
16,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T650 T250R$989,90em12xR$82,49sem jurosFrete grátis",989.00,https://produto.mercadolivre.com.br/MLB-5370440808-kit-cartucho-hp-712-original-preto-38ml-plotter-t650-t250-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5370440808&sid=search,N/A,0
17,"HPCartucho De Tinta Hp 712 3ed70a Preto 38mlAvaliação 5 de 5. (1 avaliações)5.0(1)R$297,50em12xR$29,10Frete grátis",297.00,https://produto.mercadolivre.com.br/MLB-3336348251-cartucho-de-tinta-hp-712-3ed70a-preto-38ml-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB3336348251&sid=search,N/A,0
18,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650R$996,87em12xR$83,07sem jurosFrete grátis",996.00,https://produto.mercadolivre.com.br/MLB-4057514031-kit-cartucho-hp-712-original-preto-38ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB4057514031&sid=search,N/A,0
19,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650R$899R$854,055% OFFem12xR$82,44Frete grátis",899.00,https://produto.mercadolivre.com.br/MLB-5323846958-kit-cartucho-hp-712-original-preto-38ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5323846958&sid=search,N/A,0
20,"Tinta Original Plotter Hp T250 T650 712 T712 Preto 38mlPor Tec PrintAvaliação 4,9 de 5. (9 avaliações)4.9(9)R$409,90em12xR$39,57Frete grátis",409.00,https://produto.mercadolivre.com.br/MLB-1807039444-tinta-original-plotter-hp-t250-t650-712-t712-preto-38ml-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB1807039444&sid=search,4.9,0
21,"HPKit 4 Cartuchos De Tinta Hp 712  Preto 38ml + CoresAvaliação 4,9 de 5. (8 avaliações)4.9(8)R$979em12xR$94,71Chegará grátis amanhãEnviado pelo",979.00,https://produto.mercadolivre.com.br/MLB-5046766074-kit-4-cartuchos-de-tinta-hp-712-preto-38ml-cores-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=25&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB5046766074&sid=search,4.9,0
22,"HPKit 4 Cartuchos De Tinta 712 C/preto 38ml Hp T210 T250 T650Por Primer PrintAvaliação 4,9 de 5. (47 avaliações)4.9(47)R$1.129R$1.0507% OFFem12xR$101,63Chegará grátis amanhãEnviado pelo",1129.00,https://produto.mercadolivre.com.br/MLB-2004761879-kit-4-cartuchos-de-tinta-712-cpreto-38ml-hp-t210-t250-t650-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB2004761879&sid=search,4.9,0
23,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650R$949,89em12xR$91,89Frete grátis",949.00,https://produto.mercadolivre.com.br/MLB-4055053279-kit-cartucho-hp-712-original-preto-38ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=36868a2f-fb24-4dcf-9c1c-0581b8a7e2d7&wid=MLB4055053279&sid=search,N/A,0
