id,titulo,preco,link
13,"HPKit 4 Cartuchos Hp 711 Cz133a Cz130a Cz131a Cz132aAvaliação 5 de 5. (1 avaliações)5.0(1)R$1.349em12xR$130,50Chegará grátis amanhãEnviado peloOutra opção de compraR$1.399em12xR$116,58sem juros",1349.00,https://www.mercadolivre.com.br/kit-4-cartuchos-hp-711-cz133a-cz130a-cz131a-cz132a/p/MLB42069374?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB42069374&backend_model=search-backend&wid=MLB5265617890&position=15&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
14,"HPCartucho de Plotter HP 711 CZ133AB Color PretoAvaliação 5 de 5. (24 avaliações)5.0(24)R$511em12xR$49,33Frete grátis",511.00,https://www.mercadolivre.com.br/cartucho-de-plotter-hp-711-cz133ab-color-preto/p/MLB37152290?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB37152290&wid=MLB3841700027&position=17&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
15,"HPCartucho de tinta preta HP 711 80mlAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$525em12xR$50,68Frete grátis",525.00,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-711-80ml/p/MLB36780776?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB36780776&wid=MLB4678393530&position=9&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
16,"HPKit Com 3 Cartuchos De Tinta Color 711 Hp T120 T520R$698em12xR$58,17sem jurosFrete grátis",698.00,https://www.mercadolivre.com.br/kit-com-3-cartuchos-de-tinta-color-711-hp-t120-t520/up/MLBU3177058072?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLBU3177058072&wid=MLB5386265742&position=7&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
17,"HPCartucho De Plotter Hp 711 Cz133ab Color PretoAvaliação 5 de 5. (1 avaliações)5.0(1)R$519em12xR$50,10Frete grátis",519.00,https://produto.mercadolivre.com.br/MLB-3841479691-cartucho-de-plotter-hp-711-cz133ab-color-preto-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3841479691&sid=search
18,"HPTinta de impressora preta HP Designjet Cz129a de 38 ml Color NegroAvaliação 5 de 5. (7 avaliações)5.0(7)R$362em12xR$35,41Chegará grátis amanhãEnviado pelo",362.00,https://www.mercadolivre.com.br/tinta-de-impressora-preta-hp-designjet-cz129a-de-38-ml-color-negro/p/MLB21968416?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB21968416&wid=MLB4754962242&position=8&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
19,"HPCartucho Hp 711 Pack C/3 Ciano Original 29ml Cz134abR$567em12xR$54,73Frete grátis",567.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=GYkxb3h%2B1BO0jMt483L0EOqVfecYhxrJVnN5WX3%2BeOv6%2FgSoar9nixbePSCynnex5y0M590mKlr2lWTj6TpjOOGnWCbqrYOziVs0AhW6NxdG98rxwMZ856yuXnhL3RWFwhDsss83khlkYQtkYR%2BCATsyeux1kGT%2FJr9GReSUE%2FnHHJotpOGD8h42NFEYOksbml%2BiZ9RMlCZqL0uRvC2e9HBXBY1j3vmKRMk1H%2BKlPRfscdTCq2DAl2pWyLwBTD8PXsJspGKZPWLHNWI6h7zWs8p%2FvtYunoZjJzrgcElXc23EahEVYhofGw8oGtjOv7IOiXSh5WPvwgH4w7We%2B37RSk8zaIaEPzHy5%2FqjKlVM3Bu0dMIA6D0AIt0BjeCYjzehbWhp2wXxUGVZLe57LoTyw6G%2BvlEunINwe7U1ZgeunL1TABRt19tWkd4W266j83L%2B0pa837bZKaEBI4xFdHT01J3jRi6GQUrdGRaI%2F46D25caF8x8NIk4ARjyhsPtDkTVC8ZGIY7jJ441Aucq4cvCeIUGdgkA26W8ntoHKWZb85aNvw%2F0CBBEagOdZU5DUW56I0T20y4vMKjlXGmcPwQSqPKEhb5YOF0oqlYxZC60%2Bc0AgY5vDmabh0JpZnd0reAGb7bCjGVnWF2zjQsw52L0keRVznCk2m5zcw%2FoHqndue33zuXMpuh%2FfnfdMofY5TfIPRy7MGdWBPBQRnLokgcYJpnL7JUkcGyoRaTKGGUbiOFlu540JCLAMTiQZZzC64nzEY%2FZNGW569RAfNOJ7GaZxgI%2FmEaXZoGrShp7iR4PyHDJgSBGTp0P4yndSl35g4PI8uhK3a0nFPYql4TDxeUwcv1L%2F4Qwn0ia&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3981147625&sid=search
20,"HPKit Cartuchos 4 Cores Hp 711 P/ T120 T520 24 T520 Preto 80mlAvaliação 4,5 de 5. (2 avaliações)4.5(2)R$1.454em12xR$140,67Chegará grátis amanhãEnviado pelo",1454.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=kG0m8SEffEuSRYJkTedmPjoHKKtPsDS3efkPxf9P7sy2D%2BNu08hrnEHofDgG2MPaNYL8GdBdtYIyZRlCAZY4vwowTKcFE8UzjwATBkXOO%2BQ3HqEDZzIfG9EJb3zuu13k58WCu8ofIi0FIfLothfsnsSG2d1WD8vlizRlFXvEEaCNii6OA73F%2BNV3EI8NgTGdr%2BYvdcBfVR1xHZSL0QoInEeIMZ5%2F0ZISWb%2BzsDRS6LjhxzzTEYg7d%2BuYV%2B83ZKUFZQcLGJJK9I%2BP5Memq47qck%2FWYvelyKJFZdtPHjvmnr64zTUQTZiCGNOrEypDJSJCNiwaGcXizHfLe8s1kskhJ6lYetwZPvSLE7sBLld%2BuVtevr3JhXUg%2BJsg22W318Vgf5aKLRQqLJ1q1TxsmtEv4uGMZ1Hfakm5mNJpNNFRiObmKAnkhGl%2FvrJXeTiaFVGZYI4Us1F2g7OYp%2FXRLvXR8%2F7IARzwqOioeUHDmkIj4o5qeTwsDCv0eMIBMaR2uV6Yh7He5Mq6lgf2IVMX8zLs67jrPZkNPiVootDJqqvGkXpPYN63%2FrJniZ6B6oxOsyBL53ylHPYLf4gritZ8MyDEhAheBm%2FPxOJHTXtZxDsVEFPtvn8OyG1oZngwznyozvRdluTTQRDn84CbO%2F%2Ba0m5LWxv5lcCRljdIQu4HbQFmvW31BSe5z0TvBN9mOPu85jB%2F%2BmAU7JtPM7m%2B%2B8Np3t%2FTgwxqWt1epB7WCatjP3HSpKXRyNh4B5mJi0aKmRYi5AkKFq7hWaUtpwT%2BqBs8fCJegwatPVcCGSD0EMnHfZoVo7g0taBToic5juYbfiF9ZXsyU2UOTR1neNKej8MB1CYrV3yJ8ndS6b53wXqi19KGCZE%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3721212871&sid=search
21,"HPCartucho Hp 711 Pack C/3 Ciano Original 29ml Cz134abR$567em12xR$54,73Frete grátis",567.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=VyFdhTumNcN7i1tFvi8sK%2FJasFyuGiBODgWFcAJLNTi%2FI%2BpA4BbeZnOLiL3jLqngU3YsMsbsKCLP5Q03YiR%2BORWlU9XJo2%2BxeHXhSkrzeaGvrUlpkZ9Bn%2BgrFe2pB8z5jrR1kMspCjqowG0GJZUxLMblzdeDZMWwChwn2oTwshoFXLEtucCv4C1i3jnqxeBQjQGF5oCkECDL%2BSx6oW6fYbs%2FFCUuEuZ1sJ6Fz7fzbH80ypciv2oFs4Ax0hQKvP5ndpcckxfP7snm5dHMJREtRGMSI2inaq43OZrHbFAvt%2Fdf3GGoFdD8oKruZYgH5xZy%2Bn4%2Bd6YFzFvep0TlvDcivA9eU271RbAAs9mYILbhSzbRpWOYUwK%2FXtRLRVdjpub2vBAdMi1DDGLXHO643j65Dm5rqnEJlIoe0vm2biRZKkV5kmf%2BDtpwNscYw82GdEWhJTet%2BroTD0GEc4KvgHFx1XFupqbERq8u3E8%2BKbEfNeIn%2FQyywoVMpQbWMoa8CQcjEQNNxc5C5WGr%2FimnZB%2FcSEA9ZWdNKDzzB7MpfwUsECHbuXFbxlwbbX63Kt7gBapPlSiO4bFF7piI6SM%2BkTBNFhoYQLzl%2FNzQRa1rVmdawq0NH%2BSPgwdBjyoJ7RDlcCvudSRSZK5Qsx6Mb9TD5Z7sjnkNER%2B1UBbDwT3Uw6YT8SeOcywrAQhkGChI0JiADpkUPGjVBPkB0h9tb%2FwemZQhMWpmOVSG15S5e8kT5H8aWB0%2BUa%2FxK9TphefP22IrRNJGEdGc5Q3dA%2F%2FRNE%2F8jBbo33zts8HmF10f0zWeBGLpJkphmGZgL5w5X3NUWPlzbJ0kWS5z1fnUT%2FoRNVyp8fbjAtTXx5siBrxW&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3981120761&sid=search
22,"HPHP DesignJet 711 Cartucho de tinta amarelo de 29 mLPor LepokAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$323,51em12xR$31,65Frete grátis",323.00,https://www.mercadolivre.com.br/hp-designjet-711-cartucho-de-tinta-amarelo-de-29-ml/p/MLB36755308?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLB36755308&wid=MLB5276642842&position=18&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
23,"HPCartucho Hp 711 Cz130a Cz131a Cz132a CianPor Primer PrintAvaliação 4,6 de 5. (28 avaliações)4.6(28)R$334,96R$311,517% OFFem12xR$30,47Frete grátis",334.00,https://www.mercadolivre.com.br/cartucho-hp-711-cz130a-cz131a-cz132a-cian/p/MLB24554558?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLB24554558&wid=MLB4052765545&position=16&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
24,"HPCartucho Magenta Original Hp 711 Pack C/ 3un - 29ml Cz135abAvaliação 5 de 5. (3 avaliações)5.0(3)R$579,80em12xR$55,97Frete grátis",579.00,https://produto.mercadolivre.com.br/MLB-2172849923-cartucho-magenta-original-hp-711-pack-c-3un-29ml-cz135ab-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB2172849923&sid=search
25,"HPCartucho Amarelo Original Hp 711 Pack C/ 3un - 29ml Cz136abAvaliação 5 de 5. (4 avaliações)5.0(4)R$579,80em12xR$55,97Frete grátis",579.00,https://produto.mercadolivre.com.br/MLB-2172782846-cartucho-amarelo-original-hp-711-pack-c-3un-29ml-cz136ab-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB2172782846&sid=search
26,"HPKit 4 Cartuchos De Tinta 711 C/preto 38ml Hp T120 T520Por Primer PrintAvaliação 4,9 de 5. (18 avaliações)4.9(18)R$1.235R$988,7620% OFFem12xR$95,65Frete grátis",1235.00,https://produto.mercadolivre.com.br/MLB-1861473994-kit-4-cartuchos-de-tinta-711-cpreto-38ml-hp-t120-t520-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&backend_model=search-backend&position=28&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB1861473994&sid=search
27,"HPCartucho Hp 711 Pack C/3 Ciano Original 29ml Cz134abR$567em12xR$54,73Frete grátis",567.00,https://produto.mercadolivre.com.br/MLB-3981147625-cartucho-hp-711-pack-c3-ciano-original-29ml-cz134ab-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=29&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3981147625&sid=search
28,"HPKit Cartucho Plotter Hp 711 Original 4 Cores Preto 80mlR$1.554R$1.39810% OFFem12xR$116,55sem jurosFrete grátis",1554.00,https://produto.mercadolivre.com.br/MLB-5376359326-kit-cartucho-plotter-hp-711-original-4-cores-preto-80ml-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB5376359326&sid=search
29,"HPKit Cartucho Tinta Original Hp 711 T120 T130 Magenta AmareloPor Tec PrintAvaliação 5 de 5. (2 avaliações)5.0(2)R$714,90em12xR$59,58sem jurosFrete grátis",714.00,https://produto.mercadolivre.com.br/MLB-3178580805-kit-cartucho-tinta-original-hp-711-t120-t130-magenta-amarelo-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3178580805&sid=search
30,"HPCartucho Ciano Original Hp 711 Pack C/ 3un - 29ml Cz134abAvaliação 5 de 5. (4 avaliações)5.0(4)R$579,80em12xR$55,97Frete grátis",579.00,https://produto.mercadolivre.com.br/MLB-2172796657-cartucho-ciano-original-hp-711-pack-c-3un-29ml-cz134ab-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB2172796657&sid=search
31,"HPCartucho Hp 711 Original Cz130a Cyan | T120 | T520Avaliação 5 de 5. (1 avaliações)5.0(1)R$319,13em12xR$31,22Frete grátis",319.00,https://produto.mercadolivre.com.br/MLB-1791550549-cartucho-hp-711-original-cz130a-cyan-t120-t520-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB1791550549&sid=search
32,"HPKit 4 Cartuchos Hp 711 Original Cz133a Cz130a Cz131a Cz132aR$1.399em12xR$116,58sem jurosFrete grátis",1399.00,https://produto.mercadolivre.com.br/MLB-3400436245-kit-4-cartuchos-hp-711-original-cz133a-cz130a-cz131a-cz132a-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB3400436245&sid=search
33,"HPKit Com 3 Cartuchos De Tinta 711 Amarelo Hp T120 T130 T520Por Primer PrintR$817,57R$760,347% OFFem12xR$73,40Frete grátis",817.00,https://www.mercadolivre.com.br/kit-com-3-cartuchos-de-tinta-711-amarelo-hp-t120-t130-t520/p/MLB49692942?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLB49692942&wid=MLB4059792249&position=13&search_layout=grid&type=product&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&sid=search
34,"HPCartucho De Tinta Hp 711 Cz132ab Amarelo 25781 OriginalAvaliação 4,8 de 5. (5 avaliações)4.8(5)R$294,90em12xR$28,85Frete grátis",294.00,https://produto.mercadolivre.com.br/MLB-2174474098-cartucho-de-tinta-hp-711-cz132ab-amarelo-25781-original-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=f23b440a-fd87-4f25-8626-bc3af6b34644&wid=MLB2174474098&sid=search
