id,titulo,preco,link,avaliacao,num_avaliacoes,comentarios
11,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 4,6 de 5. (28 avaliações)4.6(28)R$1.099R$989,1010% OFFem12xR$95,69Chegará grátis amanhãEnviado pelo",1099.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=R4o2LgPJw4uBz%2BKTaYAIzyQIlgGR9nD0bETWWaO62wb3g0SoigeA8G5T0lxnB1OKwRu9iBhNAHGwG3ir5UQAtYRuj11T%2BTrxZFt1s776lD9%2B5TcDzlivv77TenPHmRpV0il0MmiQhSfpQqLroaEN6ivcMNQvwihTNK5jvxOShyd95bO67AN1OYZ8C71LbhUOBHUPpFtraEij34vfdGeie%2BC7MarJELj2S9xvdEFXIkP2iTuSDUgN0%2FIh%2FD7mzDmSVJCPL7i2paQlwSIoSudHHrpwoiQJfriSENgS4pRisC3MjO90ReRFJ0RZNUiKTEb%2Bddp3%2Bs7d86gaCTe%2FIl9vAZJ0JruD0UiYvk9lnKqtXNImj%2Frvu%2BTtzKfStOZYNIS%2F%2Fp0cZ3kLIMIPmvv38huUnNtUt12KVJZDHCa4CQNggLkpAkCe84ExujSMESvaU7ooDlktcwhfCkBmOFPSGbqWzcFYXdW67Mq795UPHbCoYr5yol2PFYiEDMZcQ1q3Z74kGDW%2F92tJqNz6dErtc7hv5NwzJQI5q4VY%2BeVmEzTeWgsbVXvk6tJgsBkFC8Ycba5YgIgHYmK8gfdbpt65bnJNgTkJHaK3zn7MNQOnQssq5eDG6uASBb%2FOfZQjCzhtHRMejWZTZ1rWhNJjdhGmsQFdwAtU85G8HnzBG8X4V46%2F489%2FZLmRcUcgkixYsjTmdBX%2FmgYRajk32w07wnSAziuivmOkzhNOMicr3Lsr9AYIukD8mbuJyj1Kt%2FogOQ6gLd3GuB9ZySkmPKh7nTzrx5%2Fkch5POVFO6ej%2Fgr6rDAJRDst7QvAnyF4fojmsP3OcEMgLBmtkfM1ercwtkVCfCNn2VQU4MlxSlRJ0CvLMUQGT&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3750171931&sid=search,4.6,0,N/A
12,"HPKit Cartucho Hp 712 Original Preto 80ml Plotter T250 T650Avaliação 5 de 5. (5 avaliações)5.0(5)R$1.099em12xR$106,32Chegará grátis amanhãEnviado pelo",1099.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=jyBwNMloLnL3DCmo%2BtoOujrrGjq1LkKJ%2FyDYtMDXo443eXokGKxYC7EfLSPfJP5hNazfGpJ3GPckCMMVDbp3Sun5ruEOY1NuRl8yLPIdGkKfzcLO1FWiHLRpyJQCx3%2BGytFuTPKRDCbXncXtGrhxGfqN5S9R7QC%2FbZRjtuFzB7IqAGMY9CiF5KALJ8wfIg0hPkohDK04B7yHz9czXmB9Y%2FfWY0rpNBvR1jSPmnyyNQTZZWcLdLY4Gh7gvMDppkDLpA189euyxVQglVqJOQ2LxbbU9xFkxFszpVjaaVehcqKhIbRntkQaTpAt9EijHr5j6CQV1gsfDj75NvE7Zf0p0zkEVpS%2Fz6%2BTE6zwc8%2Fws1CClhClmRw4LjjWuaomT%2FO8VjVZ7OiHhAHPUGByR9PbEYh9ogytj5mpDUxqaLPeybdvqDPV2Ix%2Bb9PHEDvS952kWIEtg87UCbO9si8ovECA6GvjY3tUxhQTUiF101MCC7KCMh2Y3sREek0edzuejRkPM60euK4%2FJotTejCPUW0A8%2Ftx1BaVlS9Ud%2FGliajRiApXszE1ExzXxkZL0egoatQQtNB9sCeLuhQR2a9VqN6VvaUHKUgQr40cGE%2FuxxnKketcu01C%2Bh6SVdfZc2LCVFtagDZOtYIyg8Z1Lk10hIb8FjfCJj7ptJ8lM24RTMse0DijKVQ20orHiEaKNUNihCg%2FXJtcoLca7vbERkJZ1LVotO28YY3Bzp7SWdoiu4XOX8pWAZVD7ZIhcFQv%2BRNz%2F4zvfWHWFehj0D38FiQaGcArsbKAdNZwNrlec5KrECDGzMZMUTB%2BlEKuOh5yIlGJrmcFvlcXVuXy0rnNppdbOi6wZV8I3GA6izh%2FKA%2BtSMLC&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB5046761230&sid=search,N/A,0,N/A
13,"HPKit Cartucho Hp 712 Original Preto 80ml Plotter T250 T650Avaliação 5 de 5. (11 avaliações)5.0(11)R$1.299R$1.15611% OFFem12xR$111,84Chegará grátis amanhãEnviado pelo",1299.00,https://produto.mercadolivre.com.br/MLB-3750141517-kit-cartucho-hp-712-original-preto-80ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=23&search_layout=grid&type=item&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3750141517&sid=search,N/A,0,N/A
14,"HPPacote com 3 cartuchos Tinta Hp 712 Amarillo Plotter Designjet 29 mlAvaliação 4 de 5. (6 avaliações)4.0(6)R$699R$594,1515% OFFem12xR$57,36Frete grátisEnviado pelo",699.00,https://www.mercadolivre.com.br/pacote-com-3-cartuchos-tinta-hp-712-amarillo-plotter-designjet-29-ml/p/MLB36819373?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB36819373&wid=MLB4808707388&position=13&search_layout=grid&type=product&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&sid=search,N/A,0,N/A
15,"HPCartucho Hp 3ed70a Nº712 Preto 38ml HpAvaliação 4,8 de 5. (28 avaliações)4.8(28)R$289,90R$260,9110% OFFem12xR$25,52Chegará grátis amanhãEnviado pelo",289.00,https://www.mercadolivre.com.br/cartucho-hp-3ed70a-n712-preto-38ml-hp/p/MLB22534666?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB22534666&wid=MLB4660423580&position=14&search_layout=grid&type=product&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&sid=search,4.8,0,N/A
16,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 4,6 de 5. (28 avaliações)4.6(28)R$1.099R$989,1010% OFFem12xR$95,69Chegará grátis amanhãEnviado pelo",1099.00,https://produto.mercadolivre.com.br/MLB-3750171931-kit-cartucho-hp-712-original-preto-38ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=24&search_layout=grid&type=item&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3750171931&sid=search,4.6,0,N/A
17,"HPKit Cartucho Hp 712 Original Preto 80ml Plotter T250 T650Avaliação 5 de 5. (5 avaliações)5.0(5)R$1.099em12xR$106,32Chegará grátis amanhãEnviado pelo",1099.00,https://produto.mercadolivre.com.br/MLB-5046761230-kit-cartucho-hp-712-original-preto-80ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=25&search_layout=grid&type=item&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB5046761230&sid=search,N/A,0,N/A
18,"HPCartucho Hp 712 Amarelo 29ml Original 3ed69a T210 T250 T650Avaliação 5 de 5. (3 avaliações)5.0(3)R$269,80R$242,8210% OFFem12xR$23,92Chegará grátis amanhãEnviado pelo",269.00,https://produto.mercadolivre.com.br/MLB-3500805741-cartucho-hp-712-amarelo-29ml-original-3ed69a-t210-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3500805741&sid=search,N/A,0,N/A
19,"HPKit Cartucho Hp 712 Original Preto 80ml Plotter T250 T650Avaliação 5 de 5. (11 avaliações)5.0(11)R$1.299R$1.15611% OFFem12xR$111,84Chegará grátis amanhãEnviado pelo",1299.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=pobznhRxrxR%2FKc5GMdFGFlflDVOkA%2FR9YQxXadrSpd17hOGwFJ3FPccHE57N7D5y2ifbV9jpqh%2Fmb5fyRtYSjwxOWb2DuRdZH48DQxt%2BwGwxgvy5Wrwh%2FyGggHVS47bDvy2zrbQBW8NblwUMihsAEsuncwyBCqrnVDbIUjPGJCX5vHvesxkkLkr24rN5KqtPjLH3Mh8LumXiPAiA0J4GZP1%2BI%2BwsU31dKDgoNWsjxd%2FdNGnqa%2F%2BeV0S7jfcbWuI5UeEapCnNencHoNKRCFxuL591aaKMSRkUOFP3eClRxoWyNFIoLiuXN%2FmecV5HSdcZ4CUgd9rs9NCNODLOEm5xYhHPNOA85O3xuctmwnEt5mCu27qjdpvtIZu7qQtXNo5KnbU1c0vi%2BbBpNFnoRt1qwLh3xx7wi%2BGu1vjKdyZyRwn8BhARfSEWZ8%2BV6FCE0MalSnXIYp9I50KufUP5Cf8Plt38vBasPBXVfcRg7o6GsoXVA6zskM%2Bd%2FiR6Fdfigowmt%2FwOXFl93KleIC0NMklkOcokF4k0Fbs43doNXCQ8fhwrZbTYN%2FMYFqiFk7Lzaab0abgC3XfeaFFAhwsEoDN0Zfk3nWhDxOD5GD%2B4OPKWA0LObaC0ew387mIOy9jWBqhdO1Dizhw8v4fC97p7PYP3hemv3XGNUKsdiLzTK444eLic8URkcfxlYSeuDVXqFoQTonhmz2tpfyWOHnMIOM1X1jMst0m0Zr%2FjYp9A11tKYXGiaxFB4tXJz%2BsWPr2dKCpjy5nZmTEXAFYGuMuxeEStLTdF7rzBTzPoTTZOsydZp7mF2LHpJXNVxFPXH1BcuJnZT8WHgAUyIF71%2Fk7IBGR1s%2Bd8h%2BX0ax%2F3eGn66Qhp&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB3750141517&sid=search,N/A,0,N/A
20,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 5 de 5. (1 avaliações)5.0(1)R$979em12xR$94,71Frete grátis",979.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=89IIzsKiyoZzfuZHJeyUljnF5RbofVA9gSuuisjEoG8TSTiEVttLGbllrlRUDJmkbrIGj9P7Z0R5opgioU2GoVuK7RgsK7dVGDIWCXGRNv%2B85zfKxfS0dvgT9GITQU2QYlx1EY5bZbm8h6TNbKsExAoBqX2UHzHwmSzQKYdMrZsYVtYoUMsvVSL7nyFWToRMFax9pyS8FozJQqt6PUEty3q1o09CwrHul1prKHyEDHQt%2F5gdJ5hSjfLlsgtDoWJ8vrZgotvWwkDziA8X4WGebk9MGtPGvMn%2F9P%2Bf9luUzYmWCv9ieHD%2BlqSwjGWFurN8Mef4pDLNzy9rGGVWOLsLfO%2Fj3CkUAsqVc%2BiUR0eNZqgEModizTQJu6nmAt1wZzRbflSqu4oXRnDydoHPsEAfiGJ31v5E%2BdDTT%2Bhp9f3x%2FeSbAJS7ImY9cjOaDCdGGHuW7AO3nQsy69xLEhXAg0GKx%2BbwFUKfAf4mkPoC4u7UHhBDHNBLiH9r5tlfEXIxrJETtTfWAjdU%2F%2FE2HtCyunok7EzePBvQNg1%2BPwAut%2Bkdg1ET%2Fo6J3xo%2FCrUP5%2Fydt64YfN7oH49QrTqKQ7LWhqwN%2BusM%2BHJfU4yFTuQ8KqfrLXCGnu7jP%2BmKUku20ntQjmjHXWPb7UcTvrYkIwndeFu0eHPKTu27CzLBZKa0PxzASiOkw8xQINsHjqav6Mi5JSUTMYYjvn%2BQM2sNWVBr64aZYLq%2BBjFuDa4R3VDoPzBljYTo1zEuMtxJi9ecj0I1iGUitmLEsOORxLtb4VOonzNGNWAlnnvDzXLUuKDzde2XVkM87lrt3MWxVFDPywgiXjLGrmf2HH6VxcibI6l%2Fw3%2FoTfUE8CEjyTIWR6E%2BEQ%3D%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=c37698ee-3b20-43e6-9946-ce60be6b153d&wid=MLB5046775736&sid=search,N/A,0,N/A
