id,titulo,preco,link,avaliacao,num_avaliacoes
11,"HPCartucho Hp 712 Preto 38ml Original 3ed70a T210 T250 T650R$269,90R$256,405% OFFem12xR$25,08Frete grátis",269.00,https://produto.mercadolivre.com.br/MLB-5323836918-cartucho-hp-712-preto-38ml-original-3ed70a-t210-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB5323836918&sid=search,N/A,0
12,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650Avaliação 4,6 de 5. (28 avaliações)4.6(28)R$1.099R$989,1010% OFFem12xR$95,69Chegará grátis amanhãEnviado pelo",1099.00,https://produto.mercadolivre.com.br/MLB-3750171931-kit-cartucho-hp-712-original-preto-38ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=18&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB3750171931&sid=search,4.6,0
13,"Tinta Original Plotter Hp T250 T650 712 T712 Preto 38mlPor Tec PrintAvaliação 4,9 de 5. (9 avaliações)4.9(9)R$409,90em12xR$39,57Frete grátis",409.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Da9YouV1jkfgkazu0RhARUsKTC%2F%2FCwSZbxYdBnVuRkPQSadXYGKBEYwWOjuBvNeODowSviXVdqrLOD4a42%2ByRaq2WwUYzB2zi4kL%2B9rWivhrl8GdD9LfNJ4QnBitzn7ukr4sRCcp30SgMLG%2FWTBeLHnkQNLVpUTPcmMTIgHpuFFP%2ByEYpIU4l1y9gJ7FtF22YPwT8upUEH1tnuMS5E8L85lXseDmq2X8vBFw2tedoogbE0SdbjiXnwW7GfW6TOtGHTHVO37u3JBV0pH6swzei9FoeTeatjh%2BSBBADMIIF9Hn03YpSpdLiGR%2BEdXx9QS4Vk5tMxEsZ4seeaJ6T%2BIb7ZcxiMFCDJnE%2B%2BhXHBlI30FdRHWNr7S5cmUf%2F7JH0%2BmQiYozRJwwGhfbIXZHQ4cwUGpnBqSYlGZUWhz7KLDFT%2BVYROs70f%2F9T7W2aToY7tyrA2WOHcyC7sDhpg%2Bj%2FjwBtxwd02fjdnwb1aeWVhxJhwL9el%2B0maMKl4DLKOdZPDNnDxkMAo%2Bma0sV9k2wipcr61lUDqhe8GRWKmbCGpUHr8MNoWGQOPXOTIiTVvJez5mnSinPr3dU4uisEdogImzLNh4H8IPOOrRm7FFlG1B0S%2BBeQYY8xK79gqspVClht%2F2gNc16X7QvqRXpa%2B8GPBy3WfCg2Iq30s0txe7eLvn0QgJNBHp0QYXDRiGaao%2BvwWznZD7PRjtZ3e%2BIRkJoUPObYtnlPcZogbs31IZhDq3Me1pe31Ay2htU4ZNVfW18MF%2FHJQGUqE3ddrbL10VgZDfLJwnX%2BnZ25y%2BoAa%2BbowKFeJrExY1zmniEec21MP4cwk2%2BTxF3b4pfnE6wR9LVNhKMYGWqZbqbs38%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB1807039444&sid=search,4.9,0
14,"Cartucho Tinta Original Plotter Hp T250 T650 712 Preto 38mlPor Tec PrintAvaliação 4,9 de 5. (11 avaliações)4.9(11)R$399,90R$379,905% OFFem7xR$54,27sem jurosFrete grátis",399.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lRjG0x%2Bl4qed3H7AnCHHBiph0Jvu9BT4OeTk6a3MFh7ru%2F9hRJLnSm%2BQsSpQSPdJv2IozejF7F3Y3TGzkWyyxNueL3cUdY3Gno%2Bm2ErKdptM1fuNPa1NnxzZpdkWr%2FbRuT8PufCYz1Y8HGXIxc5%2BhKCN2hxyYz2378IdtwM6Mbasy1wIKE2ZL4zTAhHoBDVOxfQUwNQZ4CWTLjDoRFPIq%2FdLhW6EYuyj9NXo%2FB6g%2FEp6S2Zur%2FMzLRwFjueXlCpe0rjZYrQOr5kpjqB8PyfED8PPh4kMw%2FFfjFIp4wzG%2Fi6rQ%2BrTfuoPaOo0QK2Y114A9%2FHI1ksg7w7QiU%2BBetlqngRCBz3a9qEQdOkPhBXpXWXXGsYBoBCNbn0mjR0Hm%2Bee%2F43%2BvzMqsUj6X4%2BCqIEjxhLKeRg0797qwmi4hNfHmYy5RE5PZieLhEI8kuz8o%2BpWuzmav7kog7Be4FtHpKpvNqbFmHphFfgzalHezLAm0BflZPAIoccxHkFm8%2BNCorEU6Tj7nItXvD51u13kRJ4bmCRst1gdQZi%2BgJHF79%2B6ynx%2B3rbriKht%2BC7lzM62BDS9c3zzCSMZoMUP7HjkQOmFHzMj2xUajIt%2BaRWSUnaF5mU1uS%2BW%2BhPOMVYPG45zB%2FxJ04ydyLXsuktpUtZtVPks4uhPtezqXF0QW8Zk7tId9J0%2FSjvoF%2BmhtoUdBbUQT5AKOzQ5dgZFiw59tMMnUZKJNcjdTYHVBdp4LpsrCGxZh2m8rbF6bL5Ns9qfeVNHiJNd%2FP5S0SLiP8lpRvw8XbS9Se9dxm4HBql02f15Fy26fMabTqfXKC9KcVH11gIbaPQmnUSYHxJ8IdumEJmj4zLOJyVrPJsjGMV8%2FLcy5vs%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB1807049581&sid=search,4.9,0
15,"Cartucho Tinta Original Plotter Hp T250 T650 712 AmareloPor Tec PrintAvaliação 4,6 de 5. (11 avaliações)4.6(11)R$299,90R$284,905% OFFem12xR$27,87Frete grátis",299.00,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=xc52SRUrjHXmMLJOitjwXscO9%2BsSXGJB7iGoqCJTghhBV4%2Bb83QfpW%2FskwI0fSh8QOhkMWx9lzxkqqqosS1fr9z9WIhwC0LxElICvFuBwRTBbKiLVlsOzLJWwRVmF9zmtoeByol2UBp04bueJp%2FjN0eFudFdcPkOnzutHofXbQXJ1G%2FP%2BYRDLZBga16Khgu63OPjxfvIri0%2BwARy7w%2FhtDefRxL%2BVUXAQLVQq9cyFFVJdZgy8X6vKX7qADvOSd1z2fxVIzZ4hk9f1n6VOdudlpsRjVQYjEGXT2BidvtKJ3vo3XYWprzEIFew%2B9ZQld4C2mVa5boUaL2cZC33A0R57S8zeg2%2FYlIhHaO5NcNlUdXSOi%2FbnfIISBNO7tP%2Bn8F8nUD4KA04MPRB2RnO3V5I8wokerqdEqObJhLthXnrVYohMum%2BOhPzeNVpqx8U29358r8WVtAA6hepMIUdTwx6JAEqjN9FuVjEfECIh16pGR7tji2eqBTFb%2FIf2rV9Aj%2FIpuWjx5KV8fapvO56hupfSH1D3NN5kK0zvMFhBk1%2BuhE5ntoCUWR8tYCWMj%2BW7XKPfTuz3lV8QdPx1uitfXHp0C4z59yg6IrLpnzPtHC2rZSZJCqSBDiiyX%2BMUQLVy1pLUMEdyVAOIxJWtNClBgV4ZAV9C7vcbQvdsWD7VVEXbNvmSfFsrZ291AVgWRm8k%2F2kTSS1cRdn%2FY%2B1Ch2Rau07Be5DsflVpmiJyhG0no%2Bh3qAksecURJm0t7Zp3O11s%2FHBuwL2bRT%2FsdXxQG4nVs76OHGXCz18M6T7yYcvK1wpa%2BlgWAmROT7iVuMoqwdCbkn28A9HyQkkErytFhVh2NNNBif2vpPJP08%3D&highlight=false&headerTopBrand=false#polycard_client=search-nordic&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB1807063886&sid=search,4.6,0
16,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T65 T250Avaliação 5 de 5. (1 avaliações)5.0(1)R$989,89em12xR$82,49sem jurosFrete grátis",989.00,https://produto.mercadolivre.com.br/MLB-5379283662-kit-cartucho-hp-712-original-preto-38ml-plotter-t65-t250-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB5379283662&sid=search,N/A,0
17,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T650 T250R$989,90em12xR$82,49sem jurosFrete grátis",989.00,https://produto.mercadolivre.com.br/MLB-5370440808-kit-cartucho-hp-712-original-preto-38ml-plotter-t650-t250-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB5370440808&sid=search,N/A,0
18,"HPCartucho de tinta preta HP 712 de 38 mlR$297,50em12xR$29,10Frete grátis",297.00,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-712-de-38-ml/p/MLB37919623?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLB37919623&wid=MLB5149791412&position=5&search_layout=grid&type=product&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&sid=search,N/A,0
19,"HPKit Cartucho Hp 712 Original Preto 38ml Plotter T250 T650R$996,87em12xR$83,07sem jurosFrete grátis",996.00,https://produto.mercadolivre.com.br/MLB-4057514031-kit-cartucho-hp-712-original-preto-38ml-plotter-t250-t650-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB4057514031&sid=search,N/A,0
20,"Tinta Original Plotter Hp T250 T650 712 T712 Preto 38mlPor Tec PrintAvaliação 4,9 de 5. (9 avaliações)4.9(9)R$409,90em12xR$39,57Frete grátis",409.00,https://produto.mercadolivre.com.br/MLB-1807039444-tinta-original-plotter-hp-t250-t650-712-t712-preto-38ml-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&backend_model=search-backend&position=22&search_layout=grid&type=item&tracking_id=76f431c5-eddf-4014-b70c-87fe29c86ccb&wid=MLB1807039444&sid=search,4.9,0
