PN,Título Encontrado,Preço (R$),URL,Timestamp
3YM78AB,,,,2025-06-11T17:21:18.071518
3YM79AB,,,,2025-06-11T17:21:20.892211
3YM80AB,,,,2025-06-11T17:21:23.493839
3YM81AB,,,,2025-06-11T17:21:26.214503
